id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1437459126129418248,1437459126129418248,2021-09-13 11:52:17 CDT,2021-09-13,11:52:17,-0500,63514682,david_leavitt,David Leavitt,,"A day may come when the courage of men fails, when we forsake our friends and break all bonds of fellowship, but it is not this day.  #MondayMotivation  https://t.co/qEnqRFwq9m",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/E_LhdCAX0AczMqZ.jpg'],1,0,18,['mondaymotivation'],[],https://twitter.com/David_Leavitt/status/1437459126129418248,False,,1,https://pbs.twimg.com/tweet_video_thumb/E_LhdCAX0AczMqZ.jpg,,,,,,,[],,,,
1437458535273488387,1437458535273488387,2021-09-13 11:49:56 CDT,2021-09-13,11:49:56,-0500,24997975,brunuscutis,BrownSkin,,"#MondayMotivation:  Milk and women are the same, stay away from the sour clumpy ones!",en,[],[],[],1,0,5,['mondaymotivation'],[],https://twitter.com/BrunusCutis/status/1437458535273488387,False,,0,,,,,,,,[],,,,
1437458532945727489,1437458532945727489,2021-09-13 11:49:55 CDT,2021-09-13,11:49:55,-0500,26270913,warriors,Golden State Warriors,,Be great. #MondayMotivation  https://t.co/KZH8SGB9K5,en,[],[],[],10,38,246,['mondaymotivation'],[],https://twitter.com/warriors/status/1437458532945727489,False,,1,https://pbs.twimg.com/media/E_LgE1uVIA4DjfL.jpg,,,,,,,[],,,,
1437458371003785224,1437458371003785224,2021-09-13 11:49:16 CDT,2021-09-13,11:49:16,-0500,95482484,sebastianrulli,Sebastian Rulli,,"El sudor se seca, el dolor pasa, el cansancio se termina, pero hay algo que nunca desaparece, la satisfacción de haber logrado todo lo que te habías propuesto. #vamospormas #sisepuede #buencomienzodesemana #mondaymotivation #goodvibes  https://t.co/Wtg7U1yXVy  https://t.co/yfz5vYxaVa",es,[],['https://instagr.am/p/CTxLSIILZ5a/'],['https://pbs.twimg.com/media/E_LgxV6XIAIU8GY.jpg'],6,8,74,"['vamospormas', 'sisepuede', 'buencomienzodesemana', 'mondaymotivation', 'goodvibes']",[],https://twitter.com/sebastianrulli/status/1437458371003785224,False,,1,https://pbs.twimg.com/media/E_LgxV6XIAIU8GY.jpg,,,,,,,[],,,,
1437457404124299265,1437457404124299265,2021-09-13 11:45:26 CDT,2021-09-13,11:45:26,-0500,524396430,upworthy,Upworthy,,It’s never too late yall ♥️ @kennya_ramos #MondayMotivation,en,"[{'screen_name': 'kennya_ramos', 'name': 'nairobi 🧚🏽', 'id': '1106708732287713280'}]",[],[],0,1,24,['mondaymotivation'],[],https://twitter.com/Upworthy/status/1437457404124299265,False,https://twitter.com/kennya_ramos/status/1239757371741589505,0,,,,,,,,[],,,,
1437457136020180997,1437457136020180997,2021-09-13 11:44:22 CDT,2021-09-13,11:44:22,-0500,1136274280650596353,dharamv91323936,Dharam Veer Singh,,#MondayMotivation घर में यदि पिता शराब पीता हो तो बेटा भी वही प्रक्रिया अपनाएगा इसलिए समय रहते नशे का परित्याग करो। अधिक जानकारी के लिए Sant Rampal Ji Maharaj YouTube Channel पर Visit करें।  https://t.co/xS58aVXe6A,hi,[],[],['https://pbs.twimg.com/media/E_LfonQWUAgAzRM.jpg'],0,5,5,['mondaymotivation'],[],https://twitter.com/DharamV91323936/status/1437457136020180997,False,,1,https://pbs.twimg.com/media/E_LfonQWUAgAzRM.jpg,,,,,,,[],,,,
1437457024485367809,1437457024485367809,2021-09-13 11:43:55 CDT,2021-09-13,11:43:55,-0500,770454984131502080,montegladbach,Monte Gladbach,,Legende @stindl28 🔝   #MondayMotivation  https://t.co/FV6eFWc5n0,no,"[{'screen_name': 'stindl28', 'name': 'lars stindl', 'id': '328998750'}]",[],['https://pbs.twimg.com/media/E_LfiVgWEAY_BWT.jpg'],0,0,5,['mondaymotivation'],[],https://twitter.com/MonteGladbach/status/1437457024485367809,False,,1,https://pbs.twimg.com/media/E_LfiVgWEAY_BWT.jpg,,,,,,,[],,,,
1437456844868489216,1437456844868489216,2021-09-13 11:43:13 CDT,2021-09-13,11:43:13,-0500,200583835,tim_fargo,Tim Fargo,,I can normally tell how intelligent a man is by how stupid he thinks I am. - Cormac McCarthy #quote #mondaymotivation  https://t.co/0xRt8Saz8n,en,[],[],['https://pbs.twimg.com/media/E_LfYfGWUAAGcvk.jpg'],0,4,6,"['quote', 'mondaymotivation']",[],https://twitter.com/tim_fargo/status/1437456844868489216,False,,1,https://pbs.twimg.com/media/E_LfYfGWUAAGcvk.jpg,,,,,,,[],,,,
1437456539082702853,1437456539082702853,2021-09-13 11:42:00 CDT,2021-09-13,11:42:00,-0500,57279246,jacksongalaxy,Jackson Galaxy,,"If you're lucky enough to be a cat guardian, congrats! But nobody really owns a cat. #MondayMotivation  https://t.co/gANGmIie51",en,[],[],['https://pbs.twimg.com/media/E_FrucnWQAIsp6U.jpg'],9,17,95,['mondaymotivation'],[],https://twitter.com/JacksonGalaxy/status/1437456539082702853,False,,1,https://pbs.twimg.com/media/E_FrucnWQAIsp6U.jpg,,,,,,,[],,,,
1437455331165196292,1437455331165196292,2021-09-13 11:37:12 CDT,2021-09-13,11:37:12,-0500,60173043,mavsoffcourt,Mavs Off-Court,,.@kporzee has been puttin’ in 𝘄𝗼𝗿𝗸 💪   #MondayMotivation | #MFFL  https://t.co/DtSI7GNh2l,en,"[{'screen_name': 'kporzee', 'name': 'kristaps porzingis', 'id': '222932212'}]",[],['https://pbs.twimg.com/media/E_LeAJvVgAAzWyA.jpg'],1,12,84,"['mondaymotivation', 'mffl']",[],https://twitter.com/MavsOffCourt/status/1437455331165196292,False,,1,https://pbs.twimg.com/media/E_LeAJvVgAAzWyA.jpg,,,,,,,[],,,,
